Price,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,#,RESEARCH,#,LAM,LRCX,RESEARCH,#,LAM,LRCX,RESEARCH,#,LAM,LRCX,RESEARCH,#,LAM,LRCX,RESEARCH,#,LAM,LRCX,RESEARCH
Date,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,16.952686309814453,,,,16.974181836426432,,,,16.468144374805206,,,,16.582786613969414,,,,20373000,
2018-01-03,,,,,17.241079330444336,,,,17.35930384709175,,,,16.98313477518647,,,,17.078073472881467,,,,25833000,
2018-01-04,,,,,17.319887161254883,,,,17.630674376226217,,,,17.299288505533255,,,,17.464981440879736,,,,22272000,
2018-01-05,,,,,17.590381622314453,,,,17.660242507880188,,,,17.415731970848537,,,,17.456035867979054,,,,17130000,
2018-01-08,,,,,17.72293472290039,,,,17.867132218108647,,,,17.57694522233171,,,,17.58410982717596,,,,27627000,
2018-01-09,,,,,17.695167541503906,,,,17.890417519749125,,,,17.318998501217145,,,,17.753384646439546,,,,29550000,
2018-01-10,,,,,17.165843963623047,,,,17.4855878957064,,,,17.04314030144417,,,,17.405875272709924,,,,35108000,
2018-01-11,,,,,16.938350677490234,,,,17.269736646247075,,,,16.874759270445534,,,,17.20166778915901,,,,28164000,
2018-01-12,,,,,16.883716583251953,,,,17.140765958903973,,,,16.864908217348034,,,,16.938351384191023,,,,27881000,
2018-01-16,,,,,17.052104949951172,,,,17.53843896108637,,,,16.87387296211965,,,,17.212425419927236,,,,42511000,
2018-01-17,,,,0.44999998807907104,18.367795944213867,,,0.44999998807907104,18.419743601951698,,,0.44999998807907104,17.353035716843355,,,0.44999998807907104,17.422894887336657,,,0.0,64971000,
2018-01-18,,,,0.44999998807907104,18.400928497314453,,,0.44999998807907104,18.481536254256156,,,0.44999998807907104,17.891308990451215,,,0.44999998807907104,18.18149589046245,,,0.0,41988000,
2018-01-19,,,,0.44999998807907104,18.587228775024414,,,0.44999998807907104,18.589019072164405,,,0.44999998807907104,18.190459296270433,,,0.44999998807907104,18.43676010862413,,,0.0,26150000,
2018-01-22,,,,0.44999998807907104,18.73590087890625,,,0.44999998807907104,18.794116271174733,,,0.44999998807907104,18.557667275498186,,,0.44999998807907104,18.665144868214064,,,0.0,28231000,
2018-01-23,,,,0.44999998807907104,19.262542724609375,,,0.44999998807907104,19.26881218159628,,,0.44999998807907104,18.808452959073104,,,0.44999998807907104,18.900704516622707,,,0.0,43397000,
2018-01-24,,,,0.44999998807907104,18.784265518188477,,,0.44999998807907104,19.183722075138522,,,0.44999998807907104,18.500348020194007,,,0.44999998807907104,19.183722075138522,,,0.0,54649000,
2018-01-25,,,,,17.84563636779785,,,,19.56795335851105,,,,17.823245696846403,,,,19.345835237726703,,,,82788000,
2018-01-26,,,,,18.14299201965332,,,,18.48781386349451,,,,17.937890235588537,,,,18.087462055194873,,,,47616000,
2018-01-29,,,,,17.551868438720703,,,,18.117018105594894,,,,17.310940222323158,,,,18.023871403896777,,,,40060000,
2018-01-30,,,,,17.11390495300293,,,,17.490969322102202,,,,16.95000217400993,,,,17.20525967614857,,,,37946000,
2018-01-31,,,,,17.153308868408203,,,,17.360200941583475,,,,17.03956178978236,,,,17.277802855070917,,,,28384000,
2018-02-01,,,,,16.937458038330078,,,,17.38707032474628,,,,16.85595510251903,,,,17.01717067699734,,,,30535000,
2018-02-02,,,,,16.03734016418457,,,,16.732356412627965,,,,15.975540746212488,,,,16.722504653355383,,,,55276000,
2018-02-05,,,,,15.257237434387207,,,,16.381267340354746,,,,15.254550280267358,,,,15.71849179522152,,,,58953000,
2018-02-06,,,,,15.972854614257812,,,,16.031966881974654,,,,14.985859285603619,,,,15.091544906924605,,,,58903000,
2018-02-07,,,,,15.371880531311035,,,,16.070480851466996,,,,15.369193377039421,,,,15.748049671656712,,,,34033000,
2018-02-08,,,,,14.529974937438965,,,,15.500848877274397,,,,14.528184640482019,,,,15.464128998372138,,,,49344000,
2018-02-09,,,,,14.855986595153809,,,,14.983167704274987,,,,14.046327454732952,,,,14.851509144993207,,,,59371000,
2018-02-12,,,,,15.490102767944336,,,,15.627135657343526,,,,14.981378245012232,,,,15.083481550668214,,,,41507000,
2018-02-13,,,,,15.45517635345459,,,,15.47040242298774,,,,15.057511664774578,,,,15.366507090679073,,,,28416000,
2018-02-14,,,,,16.39111328125,,,,16.398277884160326,,,,15.315449114691843,,,,15.351273837541733,,,,58370000,
2018-02-15,,,,,16.632938385009766,,,,16.639207840960186,,,,16.04271266889252,,,,16.387534454464312,,,,41792000,
2018-02-16,,,,,16.829980850219727,,,,17.125542144898514,,,,16.53800185785543,,,,16.547853616294944,,,,43356000,
2018-02-20,,,,,17.325273513793945,,,,17.559035448636063,,,,16.695638896670907,,,,16.742212253898018,,,,32965000,
2018-02-21,,,,,16.94820785522461,,,,17.464992195423452,,,,16.945520701019735,,,,17.424688298948208,,,,32713000,
