Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,#,&,COMPANY,DEERE,#,&,COMPANY,DE,DEERE,#,&,COMPANY,DE,DEERE,#,&,COMPANY,DE,DEERE,#,&,COMPANY,DE,DEERE,#,&,COMPANY,DE,DEERE
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,,141.2233123779297,,,,,141.26800320030634,,,,,139.91842764596618,,,,,140.0256747094908,,,,,1897600,
2018-01-03,,,,,,,,141.8667755126953,,,,,142.19747657965772,,,,,140.89257863788018,,,,,141.11601903876732,,,,,1392300,
2018-01-04,,,,,,,,142.68008422851562,,,,,143.09122051598237,,,,,140.63337640968967,,,,,142.2868269894739,,,,,1747000,
2018-01-05,,,,,,,,143.28787231445312,,,,,143.4219311050315,,,,,139.95413158638772,,,,,142.82311244424758,,,,,1574400,
2018-01-08,,,,,,,,143.993896484375,,,,,144.05645268936556,,,,,142.01867783388286,,,,,143.04651160356315,,,,,2711800,
2018-01-09,,,,,,,,148.00698852539062,,,,,148.34660880226096,,,,,144.3604380306098,,,,,144.79837267024598,,,,,4345200,
2018-01-10,,,,,,,,147.4170684814453,,,,,150.54523467550337,,,,,146.66631186792475,,,,,149.02584239450533,,,,,5473700,
2018-01-11,,,,,,,,149.6693572998047,,,,,149.74979258889698,,,,,146.37137406979298,,,,,147.58689066550446,,,,,1958200,
2018-01-12,,,,,,,,151.31385803222656,,,,,152.5919307128522,,,,,150.1162206312792,,,,,150.5541551346751,,,,,2316500,
2018-01-16,,,,,,,,149.74078369140625,,,,,152.48463782229288,,,,,148.68615175215436,,,,,152.0735015646941,,,,,2046100,
2018-01-17,,,,,,,,149.64248657226562,,,,,150.72394402524927,,,,,148.7129805807272,,,,,150.68819956460956,,,,,1960400,
2018-01-18,,,,,,,,150.0625762939453,,,,,150.55414793132843,,,,,148.59680772647965,,,,,149.222451794633,,,,,2185900,
2018-01-19,,,,,,,,152.2255401611328,,,,,152.2255401611328,,,,,150.23244121584648,,,,,150.62569865146756,,,,,1613900,
